Favorable	Unfavorable	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
56.0	33.0	12.0	ppp-d-27387	PPP (D)	2017-03-27	2017-03-28	Do you have a favorable or unfavorable opinion of Joe Biden?	Likely Voters	677	3.8	IVR/Online	Pollster	Dem
54.0	31.0	14.0	yougov-economist-27049	YouGov/Economist	2017-01-23	2017-01-25		Adults	2692	2.3	Internet	Nonpartisan	None
55.0	30.0	15.0	yougov-economist-27025	YouGov/Economist	2017-01-14	2017-01-17		Adults	1447	3.0	Internet	Nonpartisan	None
56.0	22.0	22.0	nbc-wsj-27023	NBC/WSJ	2017-01-12	2017-01-15		Adults	1000	3.1	Live Phone	Nonpartisan	None
50.0	33.0	17.0	yougov-economist-26996	YouGov/Economist	2017-01-07	2017-01-10		Adults	1424	3.1	Internet	Nonpartisan	None
61.0	30.0	10.0	gallup-27020	Gallup	2017-01-04	2017-01-08		Adults	1032	4.0	Live Phone	Nonpartisan	None
49.0	34.0	17.0	yougov-economist-26972	YouGov/Economist	2016-12-31	2017-01-03		Adults	1647	3.0	Internet	Nonpartisan	None
48.0	34.0	18.0	yougov-economist-26958	YouGov/Economist	2016-12-24	2016-12-27		Adults	1662	2.9	Internet	Nonpartisan	None
48.0	34.0	18.0	yougov-economist-26945	YouGov/Economist	2016-12-17	2016-12-20		Adults	1376	3.3	Internet	Nonpartisan	None
56.0	33.0	10.0	fox-26922	FOX	2016-12-11	2016-12-13		Registered Voters	1034	3.0	Live Phone	Nonpartisan	None
51.0	32.0	16.0	yougov-economist-26919	YouGov/Economist	2016-12-10	2016-12-13		Adults	1434		Internet	Nonpartisan	None
58.0	37.0	4.0	rasmussen-26907	Rasmussen	2016-12-06	2016-12-07		Likely Voters	1000	3.0	IVR/Online	Nonpartisan	None
56.0	34.0	9.0	bloomberg-selzer-26897	Bloomberg/Selzer	2016-12-02	2016-12-05		Adults	999	3.1	Live Phone	Nonpartisan	None
50.0	29.0	21.0	yougov-economist-26874	YouGov/Economist	2016-11-19	2016-11-22		Adults	1409		Internet	Nonpartisan	None
47.0	33.0	20.0	yougov-economist-26837	YouGov/Economist	2016-11-12	2016-11-15		Adults	1659	2.8	Internet	Nonpartisan	None
51.0	40.0	9.0	yougov-economist-26805	YouGov/Economist	2016-11-04	2016-11-07		Registered Voters	4171	1.8	Internet	Nonpartisan	None
56.0	38.0	7.0	bloomberg-selzer-26771	Bloomberg/Selzer	2016-11-04	2016-11-06		Likely Voters	799	3.5	Live Phone	Nonpartisan	None
