"time","brand"
10,"KG"
10,"KG"
10,"KG"
10,"KG"
10,"KG"
11,"KG"
12,"KG"
12,"KG"
12,"KG"
13,"KG"
14,"KG"
15,"KG"
15,"KG"
16,"KG"
17,"KG"
18,"KG"
19,"KG"
23,"KG"
23,"KG"
24,"KG"
25,"KG"
25,"KG"
27,"KG"
27,"KG"
27,"KG"
28,"KG"
29,"KG"
30,"KG"
31,"KG"
31,"KG"
34,"KG"
34,"KG"
10,"Lime"
10,"Lime"
10,"Lime"
10,"Lime"
10,"Lime"
10,"Lime"
10,"Lime"
10,"Lime"
10,"Lime"
10,"Lime"
10,"Lime"
10,"Lime"
11,"Lime"
11,"Lime"
11,"Lime"
11,"Lime"
11,"Lime"
11,"Lime"
12,"Lime"
12,"Lime"
12,"Lime"
12,"Lime"
12,"Lime"
13,"Lime"
13,"Lime"
13,"Lime"
14,"Lime"
14,"Lime"
14,"Lime"
14,"Lime"
14,"Lime"
14,"Lime"
14,"Lime"
15,"Lime"
15,"Lime"
15,"Lime"
16,"Lime"
16,"Lime"
16,"Lime"
17,"Lime"
17,"Lime"
17,"Lime"
18,"Lime"
18,"Lime"
18,"Lime"
18,"Lime"
20,"Lime"
20,"Lime"
21,"Lime"
21,"Lime"
21,"Lime"
22,"Lime"
22,"Lime"
22,"Lime"
22,"Lime"
22,"Lime"
22,"Lime"
23,"Lime"
24,"Lime"
25,"Lime"
25,"Lime"
25,"Lime"
25,"Lime"
26,"Lime"
26,"Lime"
26,"Lime"
26,"Lime"
27,"Lime"
27,"Lime"
28,"Lime"
29,"Lime"
29,"Lime"
30,"Lime"
30,"Lime"
30,"Lime"
32,"Lime"
32,"Lime"
33,"Lime"
36,"Lime"
36,"Lime"
36,"Lime"
36,"Lime"
38,"Lime"
40,"Lime"
41,"Lime"
42,"Lime"
44,"Lime"
45,"Lime"
45,"Lime"
47,"Lime"
48,"Lime"
49,"Lime"
49,"Lime"
49,"Lime"
56,"Lime"
57,"Lime"
57,"Lime"
60,"Lime"
65,"Lime"
66,"Lime"
94,"Lime"
10,"GG"
10,"GG"
11,"GG"
11,"GG"
13,"GG"
14,"GG"
15,"GG"
18,"GG"
18,"GG"
22,"GG"
29,"GG"
30,"GG"
30,"GG"
32,"GG"
33,"GG"
34,"GG"
35,"GG"
36,"GG"
39,"GG"
39,"GG"
47,"GG"
50,"GG"
